case_id,alpha_deg,Cl_SU2,Cd_SU2,credibility_score,credibility_tier,credibility_reason
alpha_m4p04,-4.04,-0.446233,0.008797,0.7,usable_with_caveat,Cd drift over last 200 iterations exceeds 0.5%; Cd drift over last 500 iterations exceeds 1.0%
alpha_m2p14,-2.14,-0.233193,0.008551,0.7,usable_with_caveat,Cd drift over last 200 iterations exceeds 0.5%; Cd drift over last 500 iterations exceeds 1.0%
alpha_0_baseline,0.0,-3e-06,0.008448,1.0,core,baseline anchor without direct experimental percent comparison
alpha_p2p05,2.05,0.2234,0.008543,0.6,diagnostic_only,Cd drift over last 200 iterations exceeds 0.5%; Cd drift over last 500 iterations exceeds 1.0%; Cl differs from experiment by more than 5%
alpha_p4p04,4.04,0.446198,0.008783,0.7,usable_with_caveat,Cd drift over last 200 iterations exceeds 0.5%; Cd drift over last 500 iterations exceeds 1.0%
alpha_p6p09,6.09,0.672905,0.009712,1.0,core,no major automatic credibility penalty
alpha_p8p30,8.3,0.905927,0.011109,0.85,core,Cd drift over last 200 iterations exceeds 0.5%
alpha_p10p12,10.12,1.09304,0.012692,0.85,core,Cd drift over last 200 iterations exceeds 0.5%
alpha_p11p13,11.13,1.195696,0.013809,0.7000000000000001,usable_with_caveat,Cd differs from experiment by more than 10%; high-alpha region flagged separately
alpha_p12p12,12.12,1.291498,0.01523,0.7000000000000001,usable_with_caveat,Cd differs from experiment by more than 10%; high-alpha region flagged separately
alpha_p13p08,13.08,1.380482,0.016888,0.5499999999999999,diagnostic_only,Cd drift over last 500 iterations exceeds 1.0%; Cd differs from experiment by more than 10%; high-alpha region flagged separately
alpha_p14p22,14.22,1.480227,0.019081,0.5499999999999999,diagnostic_only,Cd drift over last 500 iterations exceeds 1.0%; Cd differs from experiment by more than 10%; high-alpha region flagged separately
