evaluation,target,model,n_train,n_test,mae,rmse,max_abs_error,bias,r2,mean_pred_std,picp_95,mean_gaussian_nll
loocv,Cl_SU2,poly1,11,12,0.01646042737411861,0.020509685697197827,0.04611417908597226,0.0015087576912550665,0.9989524418547976,,,
loocv,Cl_SU2,poly2,11,12,0.00889204328561175,0.010767189352079942,0.02224231013928324,-0.0001647082084061394,0.9997112880039867,,,
loocv,Cl_SU2,poly3,11,12,0.0036330857021677904,0.005040948384752436,0.013695670918623892,0.0010925115373503628,0.9999367173540772,,,
loocv,Cl_SU2,poly4,11,12,0.0027475621039429834,0.004508465865414912,0.013103040913796882,0.0008858257269280566,0.9999493805176364,,,
loocv,Cl_SU2,gpr_matern,11,12,0.000993832432969244,0.0018479550169293456,0.006012128775820247,0.00042928498607550076,0.999991495614884,0.0016036773911433158,0.8333333333333334,-4.938336425133097
loocv,Cl_SU2,random_forest,11,12,0.0935564840277769,0.12656325916376307,0.34057079166666676,0.030226697916667027,0.9601089536742059,,,
loocv,Cl_SU2,bootstrap_poly3,11,12,0.003120307142091947,0.004404182776824089,0.012162545306196593,0.001136124903007149,0.9999516951434874,0.005368959831058159,1.0,-4.375998889900696
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,poly1,8,4,0.04110422669875169,0.0455417417136619,0.07043790917796677,0.04110422669875169,0.8133248246666281,,,
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,poly2,8,4,0.024130029616541204,0.02808600642541455,0.04595343189650891,0.024130029616541204,0.9290018098831329,,,
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,poly3,8,4,0.003840104423721069,0.0054186801222939045,0.010066437559894448,0.003588564233645619,0.9973572606900584,,,
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,poly4,8,4,0.027250167798239133,0.031828171028250564,0.05221769507041296,-0.027250167798239133,0.9088218739114409,,,
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,gpr_matern,8,4,0.008349727427715059,0.011397945627060556,0.020492942923742152,0.008287607282306653,0.9883071478615101,0.009611602336630058,1.0,-3.787576190856919
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,random_forest,8,4,0.3456737033333397,0.36138730768577526,0.48892495333333963,-0.3456737033333397,-10.754741618137919,,,
high_alpha_holdout_train_alpha_le_10p12,Cl_SU2,bootstrap_poly3,8,4,0.12363276901222986,0.13128465662012836,0.18893806894102338,0.12363276901222986,-0.5512980310926452,2.210666039394229,1.0,1.656141688277442
loocv,Cd_SU2,poly1,11,12,0.0017379813217199122,0.0020726588707226717,0.004001414900502008,-0.00016439686194500138,0.658273910009392,,,
loocv,Cd_SU2,poly2,11,12,0.000438624980417516,0.0005640999803130175,0.0011877519874308948,1.519633347678411e-05,0.9746875229010696,,,
loocv,Cd_SU2,poly3,11,12,0.00011433694343029226,0.00013846838517656972,0.00024724925822201815,-2.6477237303023596e-05,0.9984748107574501,,,
loocv,Cd_SU2,poly4,11,12,8.462526045829562e-05,0.00010531822138185147,0.00020650687533948185,1.0101312266731633e-05,0.9991176731188568,,,
loocv,Cd_SU2,gpr_matern,11,12,6.623734106762057e-05,7.771570919806114e-05,0.00013866111564939457,1.8094500827183873e-06,0.9995195589498648,9.203257879333375e-05,0.9166666666666666,-7.895365532749757
loocv,Cd_SU2,random_forest,11,12,0.0006495055555556006,0.0010054408346137896,0.002944988333333426,-2.4797222222191904e-05,0.9195852867639858,,,
loocv,Cd_SU2,bootstrap_poly3,11,12,0.00014602944959253399,0.00020131600798614944,0.0005324197110150187,-8.165852133778812e-05,0.9967761182901744,0.00028292586113189887,0.8333333333333334,-7.079789767600851
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,poly1,8,4,0.004210534220114592,0.0045296907044837485,0.006633038794014574,-0.004210534220114592,-4.322301558457419,,,
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,poly2,8,4,0.001221639352176107,0.0014310066631800236,0.002321699168566064,-0.001221639352176107,0.46881513467083047,,,
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,poly3,8,4,0.0002808842727727084,0.00036663587327191466,0.0006386681462231536,-0.0002582841277313586,0.9651315780725596,,,
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,poly4,8,4,0.0006570583431446254,0.0008407899058726504,0.0014440613801818894,-0.0006570583431446254,0.8166261687698649,,,
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,gpr_matern,8,4,0.0014043596776479586,0.001737196647010966,0.0029485778399448853,-0.0014043596776479586,0.217182825066644,0.0003731511625176466,0.25,-1.3265677431945648
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,random_forest,8,4,0.004323664999999883,0.004748599428486676,0.007152664999999883,-0.004323664999999883,-4.849159340078215,,,
high_alpha_holdout_train_alpha_le_10p12,Cd_SU2,bootstrap_poly3,8,4,0.00016274212345167034,0.00018168105752540693,0.0002879338232344014,-2.492030692322674e-05,0.9914378727331786,0.0023746161181630466,1.0,-5.182395502916743
