airfoil,Mach,Re,AoA_deg,coefficient,source,value
NACA0012,0.15,6000000,-4.04,Cl,Exp,-0.4417
NACA0012,0.15,6000000,-4.04,Cl,Fluent,-0.4466
NACA0012,0.15,6000000,-4.04,Cl,TAU,-0.4571
NACA0012,0.15,6000000,-2.14,Cl,Exp,-0.2385
NACA0012,0.15,6000000,-2.14,Cl,Fluent,-0.2375
NACA0012,0.15,6000000,-2.14,Cl,TAU,-0.2428
NACA0012,0.15,6000000,-0.05,Cl,Exp,-0.0126
NACA0012,0.15,6000000,-0.05,Cl,Fluent,-0.0065
NACA0012,0.15,6000000,-0.05,Cl,TAU,-0.0055
NACA0012,0.15,6000000,-0.05,Cl,CFL3D,0
NACA0012,0.15,6000000,2.05,Cl,Exp,0.2125
NACA0012,0.15,6000000,2.05,Cl,Fluent,0.2273
NACA0012,0.15,6000000,2.05,Cl,TAU,0.2374
NACA0012,0.15,6000000,4.04,Cl,Exp,0.4316
NACA0012,0.15,6000000,4.04,Cl,Fluent,0.4465
NACA0012,0.15,6000000,4.04,Cl,TAU,0.4566
NACA0012,0.15,6000000,6.09,Cl,Exp,0.6546
NACA0012,0.15,6000000,6.09,Cl,Fluent,0.6692
NACA0012,0.15,6000000,6.09,Cl,TAU,0.6838
NACA0012,0.15,6000000,8.30,Cl,Exp,0.8873
NACA0012,0.15,6000000,8.30,Cl,Fluent,0.9023
NACA0012,0.15,6000000,8.30,Cl,TAU,0.9220
NACA0012,0.15,6000000,10.12,Cl,Exp,1.0707
NACA0012,0.15,6000000,10.12,Cl,Fluent,1.0857
NACA0012,0.15,6000000,10.12,Cl,TAU,1.0912
NACA0012,0.15,6000000,10.12,Cl,CFL3D,1.0909
NACA0012,0.15,6000000,11.13,Cl,Exp,1.1685
NACA0012,0.15,6000000,11.13,Cl,Fluent,1.1814
NACA0012,0.15,6000000,11.13,Cl,TAU,1.1725
NACA0012,0.15,6000000,12.12,Cl,Exp,1.2605
NACA0012,0.15,6000000,12.12,Cl,Fluent,1.2702
NACA0012,0.15,6000000,12.12,Cl,TAU,1.2813
NACA0012,0.15,6000000,13.08,Cl,Exp,1.3455
NACA0012,0.15,6000000,13.08,Cl,Fluent,1.3497
NACA0012,0.15,6000000,13.08,Cl,TAU,1.3402
NACA0012,0.15,6000000,14.22,Cl,Exp,1.4365
NACA0012,0.15,6000000,14.22,Cl,Fluent,1.4313
NACA0012,0.15,6000000,14.22,Cl,TAU,1.4420
NACA0012,0.15,6000000,15.26,Cl,Exp,1.5129
NACA0012,0.15,6000000,15.26,Cl,Fluent,1.4992
NACA0012,0.15,6000000,15.26,Cl,TAU,1.5050
NACA0012,0.15,6000000,15.26,Cl,CFL3D,1.5461
NACA0012,0.15,6000000,16.30,Cl,Exp,1.5739
NACA0012,0.15,6000000,16.30,Cl,Fluent,1.5546
NACA0012,0.15,6000000,16.30,Cl,TAU,1.5648
NACA0012,0.15,6000000,17.13,Cl,Exp,1.6116
NACA0012,0.15,6000000,17.13,Cl,Fluent,1.6332
NACA0012,0.15,6000000,17.13,Cl,TAU,1.6220
NACA0012,0.15,6000000,18.02,Cl,Exp,0.9967
NACA0012,0.15,6000000,18.02,Cl,Fluent,0.9712
NACA0012,0.15,6000000,18.02,Cl,TAU,0.9789
NACA0012,0.15,6000000,19.08,Cl,Exp,1.1358
NACA0012,0.15,6000000,19.08,Cl,Fluent,1.1203
NACA0012,0.15,6000000,19.08,Cl,TAU,1.1312
NACA0012,0.15,6000000,-4.04,Cd,Exp,0.00871
NACA0012,0.15,6000000,-4.04,Cd,Fluent,0.00874
NACA0012,0.15,6000000,-4.04,Cd,TAU,0.00907
NACA0012,0.15,6000000,-2.14,Cd,Exp,0.00800
NACA0012,0.15,6000000,-2.14,Cd,Fluent,0.00834
NACA0012,0.15,6000000,-2.14,Cd,TAU,0.00858
NACA0012,0.15,6000000,-0.05,Cd,Exp,0.00809
NACA0012,0.15,6000000,-0.05,Cd,Fluent,0.00821
NACA0012,0.15,6000000,-0.05,Cd,TAU,0.00820
NACA0012,0.15,6000000,-0.05,Cd,CFL3D,0.00819
