"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.164141138,      -14.97024983,      -16.01237544,      -9.128937636
          0,           0,           1,      -4.528957642,      -3.982138671,      -4.093911317,      -9.543063689
          0,           0,           2,      -4.640957857,      -4.135481023,      -3.889496497,      -10.21308763
          0,           0,           3,      -4.996009725,      -4.211078774,      -3.951908197,      -10.44250351
          0,           0,           4,      -5.025044783,      -4.345376446,      -4.138972736,      -10.59083707
          0,           0,           5,      -5.089744893,      -4.300890352,      -4.099999784,      -10.70231173
          0,           0,           6,      -5.098010379,      -4.245385855,      -4.065456972,      -10.77271046
          0,           0,           7,      -5.072034353,      -4.183983386,       -4.04093571,      -10.82589834
          0,           0,           8,      -5.039398085,      -4.126411697,       -4.02433261,      -10.87685424
          0,           0,           9,       -5.00640325,      -4.078067529,      -4.014089845,      -10.91186065
          0,           0,          10,       -4.97292613,      -4.040081276,      -4.008488977,      -10.93579498
          0,           0,          11,      -4.937435615,      -4.012123446,      -4.006493207,      -10.95086567
          0,           0,          12,      -4.899352592,      -3.993453435,      -4.007607481,      -10.95753994
          0,           0,          13,      -4.859244289,      -3.983396555,      -4.011773396,      -10.95203013
          0,           0,          14,      -4.818556876,      -3.981257718,      -4.018992464,      -10.94017659
          0,           0,          15,      -4.779242421,      -3.986094675,      -4.028789428,       -10.9249759
          0,           0,          16,      -4.743232279,      -3.996349786,      -4.039697491,      -10.91034204
          0,           0,          17,      -4.711929163,      -4.009427315,      -4.049019477,      -10.89686225
          0,           0,          18,      -4.685935699,      -4.021438915,      -4.053243989,      -10.88467483
          0,           0,          19,      -4.665019302,      -4.027672658,      -4.049374353,      -10.87396051
          0,           0,          20,      -4.648248358,      -4.024264128,      -4.036582495,      -10.86435012
          0,           0,          21,       -4.63424452,      -4.010300669,      -4.016769113,      -10.85420148
          0,           0,          22,      -4.621502394,      -3.988356182,      -3.993460269,      -10.84214777
          0,           0,          23,      -4.608721367,      -3.962817511,      -3.970138333,      -10.82741437
          0,           0,          24,      -4.595051558,      -3.937745458,      -3.949232657,      -10.81093147
          0,           0,          25,      -4.580167337,      -3.915812576,      -3.931951626,      -10.79277544
          0,           0,          26,      -4.564185398,      -3.898257763,       -3.91852451,      -10.77383703
          0,           0,          27,      -4.547497791,       -3.88524373,       -3.90852055,      -10.75536243
          0,           0,          28,      -4.530598912,       -3.87623974,      -3.901118888,      -10.73756973
          0,           0,          29,      -4.513951368,      -3.870321094,      -3.895321359,      -10.72064303
          0,           0,          30,      -4.497900514,       -3.86639597,      -3.890129911,      -10.70423324
          0,           0,          31,      -4.482624955,      -3.863389459,      -3.884702214,      -10.68823367
          0,           0,          32,      -4.468122468,      -3.860392407,      -3.878471996,       -10.6725193
          0,           0,          33,       -4.45423025,       -3.85676418,      -3.871209601,       -10.6568923
          0,           0,          34,      -4.440675832,      -3.852172973,      -3.863006073,      -10.64108722
          0,           0,          35,      -4.427150567,      -3.846569121,      -3.854189847,      -10.62479712
          0,           0,          36,      -4.413390418,      -3.840107204,      -3.845208061,      -10.60783168
          0,           0,          37,      -4.399244524,      -3.833047365,      -3.836509067,      -10.59015518
          0,           0,          38,      -4.384713297,      -3.825664947,      -3.828452632,      -10.57178292
          0,           0,          39,      -4.369946247,      -3.818184696,      -3.821257365,      -10.55303814
          0,           0,          40,      -4.355204164,       -3.81074203,      -3.814981779,      -10.53425722
          0,           0,          41,      -4.340800171,      -3.803367384,      -3.809530764,      -10.51592281
          0,           0,          42,      -4.327037238,      -3.795988399,      -3.804680348,      -10.49844671
          0,           0,          43,      -4.314155991,      -3.788448036,      -3.800116242,        -10.482262
          0,           0,          44,      -4.302299843,      -3.780538275,      -3.795484418,      -10.46760727
          0,           0,          45,       -4.29149944,      -3.772047985,      -3.790449053,      -10.45462946
          0,           0,          46,      -4.281675259,      -3.762818357,      -3.784751918,       -10.4431694
          0,           0,          47,      -4.272655823,      -3.752793081,      -3.778264298,       -10.4332289
          0,           0,          48,      -4.264208741,      -3.742048384,      -3.771020368,      -10.42432831
          0,           0,          49,      -4.256080561,      -3.730792096,      -3.763222851,      -10.41606952
          0,           0,          50,      -4.248038874,      -3.719331924,      -3.755218904,       -10.4076135
          0,           0,          51,      -4.239934968,      -3.708056461,      -3.747489432,      -10.39894832
          0,           0,          52,      -4.232052688,      -3.697002549,      -3.740183209,      -10.38917406
          0,           0,          53,      -4.224629908,      -3.686362781,      -3.733552632,      -10.37851372
