Target,Model,N_train,N_test,MAE,RMSE,Max_abs_error,R2,Mean_pred_std,PICP_95
Cl_SU2,gpr_matern,11,12,0.0009938324329692,0.0018479550169293,0.0060121287758202,0.999991495614884,0.0016036773911433,0.8333333333333334
Cl_SU2,bootstrap_poly3,11,12,0.0031203071420919,0.004404182776824,0.0121625453061965,0.9999516951434874,0.0053689598310581,1.0
Cl_SU2,poly4,11,12,0.0027475621039429,0.0045084658654149,0.0131030409137968,0.9999493805176364,,
Cl_SU2,poly3,11,12,0.0036330857021677,0.0050409483847524,0.0136956709186238,0.9999367173540772,,
Cl_SU2,poly2,11,12,0.0088920432856117,0.0107671893520799,0.0222423101392832,0.9997112880039868,,
Cl_SU2,poly1,11,12,0.0164604273741186,0.0205096856971978,0.0461141790859722,0.9989524418547976,,
Cl_SU2,random_forest,11,12,0.0935564840277769,0.126563259163763,0.3405707916666667,0.960108953674206,,
Cd_SU2,gpr_matern,11,12,6.623734106762057e-05,7.771570919806114e-05,0.0001386611156493,0.9995195589498648,9.203257879333377e-05,0.9166666666666666
Cd_SU2,poly4,11,12,8.462526045829562e-05,0.0001053182213818,0.0002065068753394,0.9991176731188568,,
Cd_SU2,poly3,11,12,0.0001143369434302,0.0001384683851765,0.000247249258222,0.99847481075745,,
Cd_SU2,bootstrap_poly3,11,12,0.0001460294495925,0.0002013160079861,0.000532419711015,0.9967761182901744,0.0002829258611318,0.8333333333333334
Cd_SU2,poly2,11,12,0.0004386249804175,0.000564099980313,0.0011877519874308,0.9746875229010696,,
Cd_SU2,random_forest,11,12,0.0006495055555556,0.0010054408346137,0.0029449883333334,0.9195852867639858,,
Cd_SU2,poly1,11,12,0.0017379813217199,0.0020726588707226,0.004001414900502,0.658273910009392,,
